receptor,ligand,seed,mode_rank,score_kcal_per_mol,pose_path
receptor_crystal,ZINC000560333501,2,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,6,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,2,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed2.pdbqt
receptor_crystal,ZINC000560333501,3,1,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,2,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,3,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,5,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,6,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,8,-6.2,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,3,9,-6.2,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed3.pdbqt
receptor_crystal,ZINC000560333501,4,1,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,2,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,3,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,7,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,4,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed4.pdbqt
receptor_crystal,ZINC000560333501,5,1,-6.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,2,-6.8,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,3,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,6,-6.6,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000560333501,5,9,-6.4,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000560333501__seed5.pdbqt
receptor_crystal,ZINC000583127796,1,1,-8.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,2,-7.9,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,3,-7.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,4,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,5,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,6,-6.7,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,7,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,8,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,1,9,-6.5,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed1.pdbqt
receptor_crystal,ZINC000583127796,2,1,-8.0,/home/jd/Desktop/timp2/ensemble_docking/poses/receptor_crystal__ZINC000583127796__seed2.pdbqt
