lig_00078919,-6.1,-6.2,-0.10000000000000053
lig_00048848,-5.3,-5.4,-0.10000000000000053
lig_00066901,-6.3,-6.4,-0.10000000000000053
lig_00029320,-6.1,-6.2,-0.10000000000000053
lig_00068370,-5.3,-5.4,-0.10000000000000053
lig_00002963,-5.8,-5.9,-0.10000000000000053
lig_00041980,-5.6,-5.7,-0.10000000000000053
lig_00040315,-5.4,-5.5,-0.09999999999999964
lig_00034426,-6.4,-6.5,-0.09999999999999964
lig_00049160,-6.2,-6.3,-0.09999999999999964
lig_00072170,-6.4,-6.5,-0.09999999999999964
lig_00049289,-6.2,-6.3,-0.09999999999999964
lig_00091983,-5.9,-6.0,-0.09999999999999964
lig_00014450,-5.0,-5.1,-0.09999999999999964
lig_00030659,-5.7,-5.8,-0.09999999999999964
lig_00030071,-5.4,-5.5,-0.09999999999999964
lig_00041729,-5.5,-5.6,-0.09999999999999964
lig_00040320,-5.4,-5.5,-0.09999999999999964
lig_00084518,-6.0,-6.1,-0.09999999999999964
lig_00066494,-6.4,-6.5,-0.09999999999999964
lig_00086113,-6.4,-6.5,-0.09999999999999964
lig_00035309,-6.5,-6.6,-0.09999999999999964
lig_00073513,-6.5,-6.6,-0.09999999999999964
lig_00049055,-6.2,-6.3,-0.09999999999999964
lig_00049038,-6.2,-6.3,-0.09999999999999964
lig_00049645,-5.5,-5.6,-0.09999999999999964
lig_00044335,-6.2,-6.3,-0.09999999999999964
lig_00085801,-6.5,-6.6,-0.09999999999999964
lig_00033204,-6.0,-6.1,-0.09999999999999964
lig_00095506,-6.2,-6.3,-0.09999999999999964
lig_00044303,-5.9,-6.0,-0.09999999999999964
lig_00049118,-6.2,-6.3,-0.09999999999999964
lig_00054108,-6.0,-6.1,-0.09999999999999964
lig_00021579,-6.4,-6.5,-0.09999999999999964
lig_00039940,-6.0,-6.1,-0.09999999999999964
lig_00044807,-6.0,-6.1,-0.09999999999999964
lig_00067819,-6.4,-6.5,-0.09999999999999964
lig_00054273,-5.9,-6.0,-0.09999999999999964
