#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
685000,2739.9999999628553,-3625511.3129283283,-3089196.349541506,299.6820479889357,50.3,3:27:49
687500,2749.999999962619,-3624995.1419408023,-3086247.140002232,301.04158114724873,50.3,3:27:31
690000,2759.9999999623824,-3624955.849624444,-3086078.183306145,301.1140350027648,50.3,3:27:14
692500,2769.999999962146,-3627052.510332478,-3089496.156937306,300.3757118347214,50.3,3:26:57
695000,2779.9999999619095,-3625429.0228159446,-3086752.9517705324,301.00138760642506,50.3,3:26:39
697500,2789.999999961673,-3630743.4844511207,-3092313.600149693,300.8638233901312,50.3,3:26:23
700000,2799.9999999614365,-3627432.647280704,-3089431.284403881,300.62437421026544,50.3,3:26:05
702500,2809.9999999612,-3628228.0604496,-3090028.4208137966,300.7351672875734,50.3,3:25:48
705000,2819.9999999609636,-3629943.623471828,-3089850.5535131777,301.793178187161,50.3,3:25:31
707500,2829.999999960727,-3628988.7426203303,-3089319.47899161,301.5563637076578,50.3,3:25:14
710000,2839.9999999604906,-3628484.764690481,-3089695.751023565,301.06449767873,50.3,3:24:57
712500,2849.999999960254,-3629677.6741175,-3089591.567245895,301.7892873537354,50.3,3:24:40
715000,2859.9999999600177,-3628091.8081853706,-3088862.2959577003,301.3106394421246,50.3,3:24:23
717500,2869.9999999597812,-3630736.9782323167,-3094048.622801971,299.8906919760421,50.3,3:24:05
720000,2879.9999999595448,-3626824.4873279277,-3088561.1953419973,300.7707349445428,50.3,3:23:48
722500,2889.9999999593083,-3629249.581594268,-3088204.887878994,302.324926461531,50.3,3:23:32
725000,2899.999999959072,-3628738.8934668433,-3090775.2881614836,300.60327603640167,50.3,3:23:14
727500,2909.9999999588354,-3629449.7136934027,-3089695.7784933043,301.60367648401,50.3,3:22:57
730000,2919.999999958599,-3628693.0766315795,-3090384.559041034,300.7960061055916,50.3,3:22:40
732500,2929.9999999583624,-3629614.1524339486,-3093405.6987713315,299.62253249065657,50.3,3:22:23
735000,2939.999999958126,-3630548.4679846596,-3094175.121389168,299.7146713553094,50.3,3:22:06
737500,2949.9999999578895,-3630710.140909791,-3092404.19218026,300.79457067756437,50.3,3:21:49
740000,2959.999999957653,-3626921.904709691,-3088897.130489678,300.6374559994236,50.3,3:21:32
742500,2969.9999999574165,-3631878.9057634473,-3092749.2932180827,301.2548175027222,50.3,3:21:14
745000,2979.99999995718,-3629350.5117237847,-3092097.561211479,300.20617638725054,50.3,3:20:57
747500,2989.9999999569436,-3632853.2126446404,-3093888.938357025,301.1624297994586,50.3,3:20:40
750000,2999.999999956707,-3626143.590854764,-3086336.625558796,301.63330863828537,50.3,3:20:22
752500,3009.9999999564707,-3628917.6958636045,-3087869.950610391,302.32663159974584,50.3,3:20:05
755000,3019.999999956234,-3626001.890405316,-3089547.498084953,299.75995808133473,50.3,3:19:48
757500,3029.9999999559977,-3628165.6146795135,-3088582.5655185245,301.50818879175984,50.3,3:19:31
760000,3039.9999999557613,-3629522.9291980322,-3091457.880043308,300.65996082539516,50.3,3:19:14
762500,3049.999999955525,-3626601.5066442583,-3086861.668621874,301.5957992637633,50.3,3:18:57
765000,3059.9999999552883,-3628481.1249766555,-3089757.6772021228,301.02786077271566,50.3,3:18:40
767500,3069.999999955052,-3632183.26992126,-3092080.0224623615,301.7988651702324,50.3,3:18:22
770000,3079.9999999548154,-3628556.1757498793,-3092427.224859977,299.5781079353589,50.3,3:18:06
772500,3089.999999954579,-3628066.9157845117,-3088542.128932516,301.47563298170115,50.3,3:17:49
775000,3099.9999999543425,-3626324.311145952,-3086058.850296445,301.88950676039354,50.3,3:17:32
777500,3109.999999954106,-3627981.2498417664,-3088465.6069455566,301.47052352255184,50.3,3:17:15
