Tier,ZINC ID,Ligand ID,chunk,MW (Da),LogP,TPSA,BBB Penetration,QED,LD50 (mg/kg),ProTox Risk Band,SMILES
1A,ZINC000170871960_1,lig_00001461,1,379.278,2.4788,64.76,0.956485283,0.86714025,920,GREEN (advance),Brc1ccc(C2([NH2+]Cc3noc(C4CCOCC4)n3)CC2)cc1
1A,ZINC000896953839_1,lig_00001499,1,360.235,2.8394,68.85,0.839108276,0.76081872,920,GREEN (advance),Brc1ccc(C2(c3noc(CCc4[nH]cc[nH+]4)n3)CC2)cc1
1A,ZINC000652832380_1,lig_00007224,28,393.281,2.0344,66.48,0.964097738,0.832826927,920,GREEN (advance),CCN1C[C@@H](CNC(=O)C2(c3cccc(Br)c3)CC(=O)C2)CC1=O
1A,ZINC000347406171_1,lig_00019309,28,301.39,2.84452,68.02,0.941815913,0.890535284,920,GREEN (advance),CCNC(=O)Cc1nc([C@@H](c2ccccc2C)C(C)C)no1
1A,ZINC000350424698_1,lig_00019258,28,285.347,2.13652,68.02,0.985339355,0.91352797,920,GREEN (advance),CCNC(=O)Cc1nc(C2(c3cccc(C)c3)CC2)no1
1A,ZINC000680742694_1,lig_00015191,28,285.347,2.0207,68.02,0.993832707,0.912276574,920,GREEN (advance),CCNC(=O)CCc1nc(C2Cc3ccccc3C2)no1
1A,ZINC000277843696_1,lig_00014570,28,313.401,2.6079,68.02,0.988329971,0.852929376,920,GREEN (advance),CCNC(=O)CCCc1nc(Cc2ccc3c(c2)CCC3)no1
1A,ZINC000680746335_1,lig_00015260,28,285.347,2.2164,68.02,0.991660285,0.914268612,920,GREEN (advance),CCNC(=O)CCc1nc([C@H]2CCc3ccccc32)no1
1A,ZINC000680769483_1,lig_00015261,28,299.374,2.4108,68.02,0.992849684,0.92030348,920,GREEN (advance),CCNC(=O)CCc1nc([C@H]2CCc3ccccc3C2)no1
1A,ZINC000640949294_1,lig_00000569,1,373.278,2.0779,60.21,0.781469512,0.764901952,900,GREEN (advance),Brc1cc(Cn2cc(C3CC[NH2+]CC3)nn2)c2ncccc2c1
1A,ZINC001529991046_1,lig_00000098,28,359.47,2.1133,69.72,0.753084266,0.845701505,880,GREEN (advance),CCN1CCN(C(=O)CCC(=O)N[C@@H](C)c2ccccc2)C(C)(C)C1=O
1A,ZINC000173283029_1,lig_00003111,1,375.246,3.2349,68.67,0.911479914,0.743573043,850,GREEN (advance),Brc1cccc(C2([NH2+]Cc3nnc(-c4ccco4)o3)CCC2)c1
1A,ZINC000451465529_1,lig_00001004,1,353.24,2.8783,68.67,0.772422957,0.917811432,850,GREEN (advance),Brc1ccc(-c2nnc(C[NH2+][C@@H]3CCC34CCCC4)o2)o1
1A,ZINC001637639030_1,lig_00003043,28,385.386,2.3899,61.88,0.941259384,0.846765321,800,GREEN (advance),CCN1CC[C@@H](NC(=O)N2CC(Cc3cccc(OC(F)(F)F)c3)C2)C1=O
1A,ZINC000894678555_1,lig_00003048,28,377.872,2.5651,69.72,0.951808345,0.819666651,800,GREEN (advance),CCN1CC[C@@H](NC(=O)N2CCC(C(=O)c3ccccc3Cl)CC2)C1=O
